"","F_Type","M","M_Type","Multiplier","Parameter","Delta","Species","F","Catch","SSB","SBmsy","Fmsy","Cmsy"
"98","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.479591836734694,15356849.3397519,70878935.6557572,661890980.564103,0.0642498146425817,39778673.954885
"99","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.489795918367347,15013493.7692365,69206967.7726335,661890980.564103,0.0642498146425817,39778673.954885
"100","Optimum",0.05,"Length-Based",0.818730753077982,"M_a_All","Big-","long-lived",0.5,14679776.5468442,67611126.0155795,661890980.564103,0.0642498146425817,39778673.954885
"101","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0,0,1199652512.51708,343201925.283276,0.0561064080932668,18067818.5803404
"102","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.0102040816326531,9004341.49669358,902911612.532322,343201925.283276,0.0561064080932668,18067818.5803404
"103","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.0204081632653061,13841679.4318142,699312188.074155,343201925.283276,0.0561064080932668,18067818.5803404
"104","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.0306122448979592,16361684.5513244,555754015.903952,343201925.283276,0.0561064080932668,18067818.5803404
"105","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.0408163265306122,17570254.8557673,451766440.736437,343201925.283276,0.0561064080932668,18067818.5803404
"106","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.0510204081632653,18022258.3953309,374464615.134847,343201925.283276,0.0561064080932668,18067818.5803404
"107","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.0612244897959184,18028602.5815798,315575941.415186,343201925.283276,0.0561064080932668,18067818.5803404
"108","Optimum",0.05,"Length-Based",0.90483741803596,"M_a_All","Small-","long-lived",0.0714285714285714,17768670.2397826,269713088.585931,343201925.283276,0.0561064080932668,18067818.5803404
